0827059046724;1
04260194358325;1
4260194358325;5
1478529763529;1
1478529763215;1
1478529763512;1
1478529763581;1
1478529763611;1
1478529763598;3
1478529763413;2
1478529763406;5
1478529763420;5
1478529763604;8
1478529763352;3
1478529763482;5
1478529763475;2
1478529763543;4
1478529763369;4
1478529763345;4
1478529763536;8
1478529763550;2
1478529763468;7
805538561197;1
1478529770961;1
1478529763284;4
1478529763307;4
1478529763185;10
1478529763192;6
1478529763222;9
1478529763239;6
1478529763208;2
1478529763246;7
4040333424551;1
1478529628613;1
5903240380008;10
5903240380046;4
5902838320082;2
5903240380169;1
5902838320181;3
4260194350350;6
4260194350367;7
4260194350343;7
4260194358318;1
4260194350336;6
1478529702696;1
1478529702726;1
1478529766940;1
1478529766926;1
1478529766704;1
1478529766896;1
1478529766902;1
1478529766919;1
1478529766957;1
1478529766612;1
1478529766933;1
1478529766964;1
1478529766667;1
1478529766711;1
805538592788;1
805538587982;1
805538602289;1
888961589228;1
888961587385;1
889049546089;1
632059928174;4
889049404907;1
632059928181;4
889049404914;1
889049404495;1
889049404723;3
889049405454;1
889049404525;1
889049581509;8
841049121383;3
889049581516;1
889049581547;3
889049581530;1
889049404730;1
886745309451;3
714636978120;1
842852135666;1
842852135727;1
714636978137;1
889049405058;10
632059930191;1
889049405669;2
1478529702719;1
